Sample Number,Species,Region,Island,paw_length,paw_depth,body_height,body_mass,gender
19,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.4,18.6,190,3450,FEMALE
20,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.2,18.2,195,4400,MALE
21,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,42.4,17.3,181,3600,FEMALE
22,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,48.5,17.5,191,3400,MALE
23,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,43.2,16.6,187,2900,FEMALE
24,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.6,19.4,193,3800,MALE
25,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.7,17.9,195,3300,FEMALE
26,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,52,19,197,4150,MALE
27,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.5,18.4,200,3400,FEMALE
28,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.5,19,200,3800,MALE
29,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.4,17.8,191,3700,FEMALE
30,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,52.8,20,205,4550,MALE
31,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,40.9,16.6,187,3200,FEMALE
32,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,54.2,20.8,201,4300,MALE
33,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,42.5,16.7,187,3350,FEMALE
34,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51,18.8,203,4100,MALE
35,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.7,18.6,195,3600,MALE
36,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,47.5,16.8,199,3900,FEMALE
37,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,47.6,18.3,195,3850,FEMALE
38,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,52,20.7,210,4800,MALE
39,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.9,16.6,192,2700,FEMALE
40,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,53.5,19.9,205,4500,MALE
41,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49,19.5,210,3950,MALE
42,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.2,17.5,187,3650,FEMALE
43,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.9,19.1,196,3550,MALE
44,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.5,17,196,3500,FEMALE
45,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.9,17.9,196,3675,FEMALE
46,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.8,18.5,201,4450,MALE
47,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.1,17.9,190,3400,FEMALE
48,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49,19.6,212,4300,MALE
49,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51.5,18.7,187,3250,MALE
50,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.8,17.3,198,3675,FEMALE
51,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,48.1,16.4,199,3325,FEMALE
52,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51.4,19,201,3950,MALE
53,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.7,17.3,193,3600,FEMALE
54,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.7,19.7,203,4050,MALE
55,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,42.5,17.3,187,3350,FEMALE
56,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,52.2,18.8,197,3450,MALE
57,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.2,16.6,191,3250,FEMALE
58,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.3,19.9,203,4050,MALE
59,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.2,18.8,202,3800,MALE
60,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.6,19.4,194,3525,FEMALE
61,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51.9,19.5,206,3950,MALE
62,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.8,16.5,189,3650,FEMALE
63,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.7,17,195,3650,FEMALE
64,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,55.8,19.8,207,4000,MALE
65,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,43.5,18.1,202,3400,FEMALE
66,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.6,18.2,193,3775,MALE
67,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.8,19,210,4100,MALE
68,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.2,18.7,198,3775,FEMALE
1,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.1,13.2,211,4500,FEMALE
2,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50,16.3,230,5700,MALE
3,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.7,14.1,210,4450,FEMALE
4,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50,15.2,218,5700,MALE
5,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.6,14.5,215,5400,MALE
6,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.5,13.5,210,4550,FEMALE
7,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.4,14.6,211,4800,FEMALE
8,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.7,15.3,219,5200,MALE
9,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.3,13.4,209,4400,FEMALE
10,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.8,15.4,215,5150,MALE
11,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,40.9,13.7,214,4650,FEMALE
12,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49,16.1,216,5550,MALE
13,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.5,13.7,214,4650,FEMALE
14,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.4,14.6,213,5850,MALE
15,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.8,14.6,210,4200,FEMALE
16,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.3,15.7,217,5850,MALE
17,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,42,13.5,210,4150,FEMALE
18,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.2,15.2,221,6300,MALE
19,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.2,14.5,209,4800,FEMALE
20,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.7,15.1,222,5350,MALE
21,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.2,14.3,218,5700,MALE
22,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.1,14.5,215,5000,FEMALE
23,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.5,14.5,213,4400,FEMALE
24,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.3,15.8,215,5050,MALE
25,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,42.9,13.1,215,5000,FEMALE
26,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.1,15.1,215,5100,MALE
27,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.5,14.3,216,4100,
28,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.8,15,215,5650,MALE
29,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.2,14.3,210,4600,FEMALE
30,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50,15.3,220,5550,MALE
31,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.3,15.3,222,5250,MALE
32,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,42.8,14.2,209,4700,FEMALE
33,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.1,14.5,207,5050,FEMALE
34,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,59.6,17,230,6050,MALE
35,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.1,14.8,220,5150,FEMALE
36,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.4,16.3,220,5400,MALE
37,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,42.6,13.7,213,4950,FEMALE
38,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.4,17.3,219,5250,MALE
39,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44,13.6,208,4350,FEMALE
40,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.7,15.7,208,5350,MALE
41,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,42.7,13.7,208,3950,FEMALE
42,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.6,16,225,5700,MALE
43,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.3,13.7,210,4300,FEMALE
44,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.6,15,216,4750,MALE
45,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.5,15.9,222,5550,MALE
46,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.6,13.9,217,4900,FEMALE
47,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.5,13.9,210,4200,FEMALE
48,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.5,15.9,225,5400,MALE
49,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.9,13.3,213,5100,FEMALE
50,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.2,15.8,215,5300,MALE
51,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.6,14.2,210,4850,FEMALE
52,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.5,14.1,220,5300,MALE
53,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.1,14.4,210,4400,FEMALE
54,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.1,15,225,5000,MALE
55,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.5,14.4,217,4900,FEMALE
56,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45,15.4,220,5050,MALE
57,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.8,13.9,208,4300,FEMALE
58,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.5,15,220,5000,MALE
59,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.2,14.5,208,4450,FEMALE
60,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.4,15.3,224,5550,MALE
61,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.3,13.8,208,4200,FEMALE
62,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.2,14.9,221,5300,MALE
63,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.7,13.9,214,4400,FEMALE
64,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,54.3,15.7,231,5650,MALE
65,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.8,14.2,219,4700,FEMALE
66,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.8,16.8,230,5700,MALE
67,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.2,14.4,214,4650,
68,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.5,16.2,229,5800,MALE
69,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.5,14.2,220,4700,FEMALE
70,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.7,15,223,5550,MALE
71,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.7,15,216,4750,FEMALE
72,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.4,15.6,221,5000,MALE
73,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.2,15.6,221,5100,MALE
74,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.5,14.8,217,5200,FEMALE
75,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.4,15,216,4700,FEMALE
76,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.6,16,230,5800,MALE
77,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.5,14.2,209,4600,FEMALE
78,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,51.1,16.3,220,6000,MALE
79,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.2,13.8,215,4750,FEMALE
80,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.2,16.4,223,5950,MALE
81,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.1,14.5,212,4625,FEMALE
82,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,52.5,15.6,221,5450,MALE
83,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.4,14.6,212,4725,FEMALE
84,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50,15.9,224,5350,MALE
85,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.9,13.8,212,4750,FEMALE
86,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.8,17.3,228,5600,MALE
87,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.4,14.4,218,4600,FEMALE
88,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,51.3,14.2,218,5300,MALE
89,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.5,14,212,4875,FEMALE
90,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,52.1,17,230,5550,MALE
91,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.5,15,218,4950,FEMALE
92,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,52.2,17.1,228,5400,MALE
93,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.5,14.5,212,4750,FEMALE
94,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.5,16.1,224,5650,MALE
95,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.5,14.7,214,4850,FEMALE
96,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.8,15.7,226,5200,MALE
97,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.4,15.8,216,4925,MALE
98,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.9,14.6,222,4875,FEMALE
99,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.4,14.4,203,4625,FEMALE
100,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,51.1,16.5,225,5250,MALE
101,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.5,15,219,4850,FEMALE
102,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,55.9,17,228,5600,MALE
103,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.2,15.5,215,4975,FEMALE
104,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.1,15,228,5500,MALE
105,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.3,13.8,216,4725,
106,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.8,16.1,215,5500,MALE
107,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,41.7,14.7,210,4700,FEMALE
108,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,53.4,15.8,219,5500,MALE
109,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.3,14,208,4575,FEMALE
110,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.1,15.1,209,5500,MALE
111,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.5,15.2,216,5000,FEMALE
112,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.8,15.9,229,5950,MALE
113,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.5,15.2,213,4650,FEMALE
114,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,51.5,16.3,230,5500,MALE
115,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.2,14.1,217,4375,FEMALE
116,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,55.1,16,230,5850,MALE
117,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.5,15.7,217,4875,.
118,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.8,16.2,222,6000,MALE
119,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.2,13.7,214,4925,FEMALE
120,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,,,,,
121,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.8,14.3,215,4850,FEMALE
122,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.4,15.7,222,5750,MALE
123,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.2,14.8,212,5200,FEMALE
124,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.9,16.1,213,5400,MALE
